	unique.seurat.cellType.	modified_celltype
1	macrophage	macrophage
2	monocyte	monocyte
3	endothelial cell of hepatic sinusoid	endothelial cell
4	liver dendritic cell	liver dendritic cell
5	mature NK T cell	NK T cell
6	fibroblast	fibroblast
7	hepatocyte	hepatocyte
8	intrahepatic cholangiocyte	intrahepatic cholangiocyte
9	T cell	T cell
10	neutrophil	neutrophil
11	plasma cell	plasma cell
12	tracheal goblet cell	tracheal goblet cell
13	endothelial cell	endothelial cell
14	smooth muscle cell	muscle cell
15	ciliated cell	ciliated cell
16	ionocyte	ionocyte
17	secretory cell	secretory cell
18	basal cell	basal cell
19	mast cell	mast cell
20	mucus secreting cell	mucus secreting cell
21	CD8-positive, alpha-beta T cell	T cell
22	serous cell of epithelium of trachea	serous cell of epithelium of trachea
23	B cell	B cell
24	CD4-positive, alpha-beta T cell	T cell
25	double-positive, alpha-beta thymocyte	thymocyte
26	erythrocyte	erythrocyte
27	CD4-positive, alpha-beta memory T cell	T cell
28	CD8-positive, alpha-beta cytokine secreting effector T cell	T cell
29	classical monocyte	monocyte
30	naive B cell	B cell
31	memory B cell	B cell
32	type I NK T cell	NK T cell
33	CD141-positive myeloid dendritic cell	dendritic cell
34	platelet	platelet
35	naive thymus-derived CD4-positive, alpha-beta T cell	T cell
36	non-classical monocyte	monocyte
37	hematopoietic stem cell	hematopoietic stem cell
38	plasmacytoid dendritic cell	plasmacytoid dendritic cell
39	basophil	basophil
40	effector CD8-positive, alpha-beta T cell	T cell
41	effector CD4-positive, alpha-beta T cell	T cell
42	innate lymphoid cell	innate lymphoid cell
43	regulatory T cell	T cell
44	CD1c-positive myeloid dendritic cell	dendritic cell
45	intermediate monocyte	monocyte
46	stromal cell	stromal cell
47	mature conventional dendritic cell	dendritic cell
48	acinar cell of salivary gland	acinar cell of salivary gland
49	CD4-positive helper T cell	T helper cell
50	pericyte	pericyte
51	endothelial cell of lymphatic vessel	endothelial cell
52	adventitial cell	adventitial cell
53	duct epithelial cell	duct epithelial cell
54	myoepithelial cell	epithelial cell
55	CD8-positive, alpha-beta memory T cell	T cell
56	naive thymus-derived CD8-positive, alpha-beta T cell	T cell
57	epithelial cell	epithelial cell
58	leukocyte	leukocyte
59	vein endothelial cell	endothelial cell
60	endothelial cell of artery	endothelial cell
61	capillary endothelial cell	endothelial cell
62	tongue muscle cell	muscle cell
63	keratinocyte	keratinocyte
64	fibroblast of breast	fibroblast of breast
65	luminal epithelial cell of mammary gland	luminal epithelial cell of mammary gland
66	vascular associated smooth muscle cell	muscle cell
67	epithelial cell of uterus	epithelial cell
68	ciliated epithelial cell	epithelial cell
69	myometrial cell	myometrial cell
70	conjunctival epithelial cell	conjunctival epithelial cell
71	microglial cell	microglial cell
72	eye photoreceptor cell	eye photoreceptor cell
73	Mueller cell	Mueller cell
74	stem cell	stem cell
75	retinal blood vessel endothelial cell	endothelial cell
76	epithelial cell of lacrimal sac	epithelial cell of lacrimal sac
77	keratocyte	keratocyte
78	retinal pigment epithelial cell	retinal pigment epithelial cell
79	corneal epithelial cell	corneal epithelial cell
80	melanocyte	melanocyte
81	retinal bipolar neuron	retinal bipolar neuron
82	dendritic cell	dendritic cell
83	erythroid lineage cell	erythroid lineage cell
84	radial glial cell	radial glial cell
85	surface ectodermal cell	surface ectodermal cell
86	retina horizontal cell	retina horizontal cell
87	pigmented ciliary epithelial cell	pigmented ciliary epithelial cell
88	myofibroblast cell	fibroblast
89	mesenchymal stem cell	mesenchymal stem cell
90	muscle cell	muscle cell
91	CD8-positive, alpha-beta cytotoxic T cell	T cell
92	Langerhans cell	Langerhans cell
93	erythroid progenitor cell	erythroid progenitor cell
94	granulocyte	granulocyte
95	common myeloid progenitor	common myeloid progenitor
96	cardiac endothelial cell	endothelial cell
97	cardiac muscle cell	muscle cell
98	fibroblast of cardiac tissue	fibroblast
99	pancreatic acinar cell	pancreatic acinar cell
100	myeloid cell	myeloid cell
101	pancreatic stellate cell	pancreatic stellate cell
102	pancreatic ductal cell	pancreatic ductal cell
103	type B pancreatic cell	type B pancreatic cell
104	basal cell of prostate epithelium	basal cell of prostate epithelium
105	club cell	club cell
106	luminal cell of prostate epithelium	luminal cell of prostate epithelium
107	plasmablast	plasma cell
108	endothelial cell of vascular tree	endothelial cell
109	skeletal muscle satellite stem cell	skeletal muscle satellite stem cell
110	tendon cell	tendon cell
111	fast muscle cell	muscle cell
112	slow muscle cell	muscle cell
113	mesothelial cell	mesothelial cell
114	salivary gland cell	salivary gland cell
115	naive regulatory T cell	T cell
116	T follicular helper cell	T helper cell
117	DN4 thymocyte	thymocyte
118	medullary thymic epithelial cell	medullary thymic epithelial cell
119	myeloid dendritic cell	myeloid dendritic cell
120	fat cell	fat cell
121	retinal ganglion cell	retinal ganglion cell
122	bladder urothelial cell	bladder urothelial cell
123	enterocyte of epithelium of large intestine	enterocyte
124	large intestine goblet cell	goblet cell
125	paneth cell of colon	paneth cell of colon
126	transit amplifying cell of colon	transit amplifying cell of colon
127	gut endothelial cell	endothelial cell
128	intestinal crypt stem cell of large intestine	intestinal crypt stem cell
129	intestinal enteroendocrine cell	enteroendocrine cell
130	intestinal tuft cell	intestinal tuft cell
131	type II pneumocyte	type II pneumocyte
132	blood vessel endothelial cell	endothelial cell
133	respiratory goblet cell	goblet cell
134	sperm	sperm
135	enterocyte of epithelium of small intestine	enterocyte
136	transit amplifying cell of small intestine	transit amplifying cell of small intestine
137	small intestine goblet cell	goblet cell
138	paneth cell of epithelium of small intestine	epithelial cell
139	intestinal crypt stem cell of small intestine	intestinal crypt stem cell
140	cell of skeletal muscle	cell of skeletal muscle
141	DN3 thymocyte	DN3 thymocyte
142	DN1 thymic pro-T cell	DN1 thymic pro-T cell
143	Schwann cell	Schwann cell
144	kidney epithelial cell	kidney epithelial cell
145	enterocyte	enterocyte
146	intestinal crypt stem cell	intestinal crypt stem cell
147	goblet cell	goblet cell
148	lung ciliated cell	lung ciliated cell
149	serous cell of epithelium of bronchus	serous cell of epithelium of bronchus
150	type I pneumocyte	pneumocyte
151	bronchial smooth muscle cell	muscle cell
152	lung microvascular endothelial cell	endothelial cell
153	pulmonary ionocyte	pulmonary ionocyte
154	pancreatic PP cell	pancreatic PP cell
155	pancreatic A cell	pancreatic A cell
156	pancreatic D cell	pancreatic D cell
157	duodenum glandular cell	duodenum glandular cell
158	immature natural killer cell	natural killer cell
159	thymocyte	thymocyte
160	connective tissue cell	connective tissue cell